# event_id,event_lat [d], event_lon [d],elevation [d],polarity
485011,-82.8239,146.716,-35.9,-1
649637,-87.4039,146.727,-20.7,-1
994061,-85.7045,-71.5066,-13.0,-1
2107671,-79.0142,-153.763,-8.2,-1
2195679,-76.5309,-142.03,-11.4,-1
2518633,-78.447,-165.75,-27.2,-1
2795497,-81.8945,172.19,-24.4,-1
3623566,-85.4498,55.4588,-26.1,-1
3985267,-82.6559,17.2842,-27.4,+1
4104804,-81.44,2.3131,-21.1,-1
4338830,-79.4074,-11.8644,-15.7,-1
5152386,,,-4.3,+1
5645353,-78.959,-102.039,-15.7,-1
6053978,-78.9493,-130.04,-13.4,-1
6837381,-83.4023,154.658,-12.1,-1
7122397,,,-3.3,+1
7419738,-81.3941,-54.8226,-10.0,-1
