# event_id,time,event_lat [d],event_lon [d],event_alt [m],anita_lat [d],anita_lon [d],event_alt [d],elevation [d],azimuth [d],polarity
9097075,1418935572,-79.8303,148.814,2131,-80.0817,154.602,36323.4,-16.8661,-78.8563,-1
11116669,1418978761,-81.3294,176.136,6,-81.2609,146.761,36355.2,-6.43217,105.382,-1
11989349,1418997667,-82.6084,141.396,2404,-81.1009,140.177,35438.7,-11.8167,174.066,-1
15717147,1419064402,-81.3986,129.016,2621,-81.6109,126.507,35861,-34.9699,61.41,+1
16952229,1419101390,-82.676,128.674,2742,-80.8189,121.33,34681.6,-8.73916,154.019,-1
19459851,1419173305,-81.189,99.517,3544,-80.6972,98.2029,35995.6,-28.8256,157.821,-1
23695286,1419287449,-79.8056,70.1918,3851,-79.4478,65.9819,35390.9,-19.0219,117.305,-1
27142546,1419361263,-84.6363,109.4602,18883.0,-79.1585,50.943,35760.8,-5.5537,150.221,+1
32907848,1419481479,-79.0226,10.1545,2891,-77.9829,21.1706,36263.5,-8.25657,-120.653,-1
33484995,1419495826,-79.9982,19.3425,3089,-77.9758,17.7245,36873.6,-9.48746,172.1,-1
39599205,1419653912,-81.8667,-2.6617,24046.0,-78.2385,-17.9381,36120.6,-3.61121,151.327,+1
41529195,1419703765,-79.9325,-26.977,362,-78.9955,-32.116,36947.3,-14.553,137.408,-1
58592863,1420110722,-76.9118,-117.691,1803,-76.395,-110.151,35015.4,-10.2213,-110.165,-1
62273732,1420207177,-76.5879,-137.478,1913,-76.0299,-131.171,35943.1,-11.632,-113.518,-1
66313844,1420308605,-75.2196,-156.845,-59,-74.815,-157.437,36484.6,-37.3596,159.579,-1
68298837,1420357984,-75.0579,-168.67,-62,-74.6522,-168.028,36419.3,-36.8965,-157.819,-1
70013898,1420402058,-74.5006,-167.459,-63,-74.3386,177.572,36245.1,-6.64026,99.4938,-1
73726742,1420496863,-74.8095,153.33,2149,-74.2488,154.376,36291.1,-26.3685,-154.026,-1
75277769,1420549133,-74.5808,137.642,2708,-73.9239,138.908,34941.4,-21.6866,-152.964,-1
83877990,1420760958,-71.5575,82.5361,2801,-70.1421,85.785,35007.7,-10.2116,-144.515,-1
