# event_id,date,time,event_lat [d],event_lon [d],event_alt [m],anita_lat [d],anita_lon [d],anita_alt [d],elevation [d],azimuth [d],polarity
4098827,2016-12-03,10-03-27,-75.584,124.074,3197,-80.2,131.2,38864,-6.17,338.314,-1
9734523,2016-12-05,12-55-40, -71.862,32.612,19000,-80.9,31.6,39247,-5.681,2.006,+1
12131787,2016-12-06,06-00-34,-78.090,3.129,2634,-79.0,6.1,38614,-17.285,324.701,-1
15738420,2016-12-07,10-11-00,-76.335,-56.681,40,-77.3,-42.4,39507,-7.633,279.17,-1
16821419,2016-12-07,16-37-03,-77.152,-59.681,43,-78.1,-51.7,39447,-11.266,294.333,-1
19848917,2016-12-08,11-44-54,-80.983,-79.974,758,-76.7,-72.9,38969,-6.73,194.344,+1
20936205,2016-12-08,20-45-53,-76.022,-88.574,1238,-77.3,-85.2,39443,-13.49,326.905,-1
25580797,2016-12-10,08-55-36,-81.443,-121.590,1113,-80.6,-120.8,37702,-22.325,188.272,-1
25855454,2016-12-10,11-06-39,-78.991,-119.060,1609,-80.3,-122.5,37505,-13.168,27.039,-1
36785931,2016-12-13,06-51-19,-82.508,154.850,2170,-82.1,-153.8,38549,-36.559,162.566,+1
39236841,2016-12-13,20-49-08,-79.841,123.841,2904,-82.0,-130.4,37451,-8.454,331.359,-1
40172984,2016-12-14,02-28-22,-82.576,113.675,3006,-82.3,119.5,38613,-21.749,248.545,-1
45684620,2016-12-15,10-48-09,-82.975,79.944,3747,-82.0,78.3,37527,-17.351,168.514,-1
47396999,2016-12-15,20-31-28,-81.881,62.560,3872,-81.2,68.6,36377,-15.249,230.51,-1
50549772,2016-12-16,15-03-19,-83.462,16.004,2572,-81.9,47.3,38519,-6.43,234.078,+1
51293223,2016-12-16,19-08-08,-74.800,11.427,18600,-81.7,39.2,37527,-5.470,306.446,+1
54063721,2016-12-17,11-25-03,-82.610,11.176,2499,-81.2,22.9,39413,-9.875,224.328,-1
64472798,2016-12-20,05-40-44,-85.523,-53.225,1702,-85.2,-60.5,38575,-26.012,124.297,-1
64859493,2016-12-20,08-22-26,-84.830,-74.162,1113,-84.5,-64.4,38319,-19.707,246.182,-1
64861754,2016-12-20,08-23-18,-85.103,-71.284,1230,-84.5,-64.5,38316,-21.714,223.006,-1
66313236,2016-12-20,17-36-12,-84.119,-70.513,865,-85.1,-78.4,39358,-15.956,39.846,-1
66509677,2016-12-20,18-50-52,-85.935,-112.563,2377,-85.2,-81.3,39380,-8.789,237.462,-1
72164985,2016-12-22,06-28-14,-86.233,3.889,2627,-86.9,-104.3,38575,-6.16,139.848,+1
74197411,2016-12-22,19-58-49,-84.825,-123.197,1163,-86.2,-121.6,39228,-14.824,353.971,-1
83074427,2016-12-25,06-57-34,-82.122,-162.055,18,-85.6,-171.6,39666,-7.338,20.837,-1
88992443,2016-12-26,22-38-52,-85.676,159.113,2569,-85.7,141.7,39277,-14.823,95.834,+1
91525988,2016-12-27,15-03-36,-86.268,141.217,2864,-86.8,127.8,39118,-18.648,61.283,-1
93744271,2016-12-28,05-05-02,-87.897,147.457,3044,-87.4,140.6,39572,-29.964,153.791,-1
95576190,2016-12-28,17-16-11,-86.959,150.403,2917,-88.3,138.4,38871,-13.691,27.186,-1
